Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
226		4:30:30 p. m.	9.5		0	47	0	0	95	11	0	0	68	0	174	0	0	1107
227		5:00:30 p. m.	10		0	129	0	29	0	250	0	0	1690	191	0	0	191	450
228		5:30:30 p. m.	10.5		0	0	27	0	0	638	0	0	1154	806	0	0	815	80
229		6:00:30 p. m.	11		0	0	0	10	157	0	0	0	35	326	0	374	9	43
230		6:30:30 p. m.	11.5		0	416	92	75	1158	357	0	9	1425	1558	237	269	1492	2001
231		7:00:30 p. m.	12		0	654	0	119	282	303	0	0	844	2066	379	151	2185	2522
232		7:30:30 p. m.	12.5		0	28	516	0	0	682	0	0	370	9	24	0	758	691
233		8:00:30 p. m.	13		0	220	919	55	102	2340	0	0	523	655	113	42	1085	2961
234		8:30:30 p. m.	13.5		0	46	360	28	992	1784	0	0	681	277	374	577	2581	2474
235		9:00:30 p. m.	14		0	1007	852	113	426	1273	0	0	3249	1168	23	685	1530	3314
236		9:30:30 p. m.	14.5		0	219	0	86	444	1670	0	0	370	1494	38	1181	2653	3634
237		10:00:30 p. m.	15		0	195	123	151	1394	2452	0	0	2612	1546	877	398	1742	2258
238		10:30:30 p. m.	15.5		0	337	47	37	939	1689	0	0	2050	1954	208	0	1540	1163
239		11:00:30 p. m.	16		0	188	53	103	696	240	0	0	1370	2614	264	0	1487	1377
240		11:30:30 p. m.	16.5		0	186	1053	83	886	2210	0	0	917	1638	422	22	1313	1129
241	26-ene-23	12:00:30 a. m.	17		0	55	768	224	479	2336	0	0	1700	194	6	72	494	2278
242		12:30:30 a. m.	17.5		0	507	427	36	838	464	0	0	2491	209	43	962	3777	3552
243		1:00:30 a. m.	18		0	1327	9	64	1009	972	0	0	336	292	152	1181	3119	1447
244		1:30:30 a. m.	18.5		0	0	0	18	199	1063	0	0	498	1682	1433	6	3399	40
245		2:00:30 a. m.	19		0	27	0	1166	449	1890	0	0	765	3310	215	42	3036	137
246		2:30:30 a. m.	19.5		0	91	156	18	1230	1736	0	0	624	2089	236	97	85	1079
247		3:00:30 a. m.	20		0	257	92	159	1461	2172	0	0	3786	64	11	15	154	698
248		3:30:30 a. m.	20.5		0	82	183	0	296	706	0	0	175	45	932	8	287	40
249		4:00:30 a. m.	21		0	699	1585	491	22	337	0	0	810	55	874	66	1324	41
250		4:30:30 a. m.	21.5		0	124	422	623	41	510	0	0	732	386	15	997	1032	765
251		5:00:30 a. m.	22		0	112	202	39	925	1026	0	0	3924	1200	0	300	1432	1326
252		5:30:30 a. m.	22.5		0	465	0	9	2123	2741	0	0	2081	1604	391	309	3889	118
253		6:00:30 a. m.	23		0	182	431	150	17	431	0	0	803	2138	13	55	154	400
254		6:30:30 a. m.	23.5		0	349	18	65	171	697	0	0	567	536	6	30	279	514
255		7:00:30 a. m.	0		0	9	9	29	99	679	0	0	1587	1250	0	220	68	106
256		7:30:30 a. m.	0.5		0	9	63	120	35	1621	0	0	82	24	14	8	983	560
257		8:00:30 a. m.	1		0	0	0	37	986	466	0	0	172	8	38	8	26	0
258		8:30:30 a. m.	1.5		0	44	0	0	11	653	0	0	764	0	194	444	149	26
259		9:00:30 a. m.	2		0	28	0	18	79	1882	0	0	32	291	7	258	29	642
260		9:30:30 a. m.	2.5		0	249	74	94	646	1864	0	0	114	15	13	0	153	0
